hsa-let-7a-5p_MIMAT0000062	n22	89
hsa-let-7b-5p_MIMAT0000063	n22	2
hsa-let-7c-5p_MIMAT0000064	n22	4
hsa-let-7d-5p_MIMAT0000065	n22	1
hsa-let-7e-5p_MIMAT0000066	n22	10
hsa-let-7f-5p_MIMAT0000067	n22	45
hsa-let-7g-5p_MIMAT0000414	n22	16
hsa-let-7i-5p_MIMAT0000415	n22	20
hsa-miR-100-3p_MIMAT0004512	n22	2
hsa-miR-100-5p_MIMAT0000098	n22	103
hsa-miR-101-3p_MIMAT0000099	n21	1
hsa-miR-103a-3p_MIMAT0000101	n23	30
hsa-miR-107_MIMAT0000104	n23	1
hsa-miR-10a-5p_MIMAT0000253	n23	16
hsa-miR-10b-5p_MIMAT0000254	n23	29
hsa-miR-12136_MIMAT0049032	n18	2
hsa-miR-125a-5p_MIMAT0000443	n24	14
hsa-miR-125b-5p_MIMAT0000423	n22	10
hsa-miR-126-5p_MIMAT0000444	n21	1
hsa-miR-128-3p_MIMAT0000424	n21	1
hsa-miR-1307-5p_MIMAT0022727	n21	2
hsa-miR-130a-3p_MIMAT0000425	n22	2
hsa-miR-135b-5p_MIMAT0000758	n23	1
hsa-miR-138-5p_MIMAT0000430	n23	3
hsa-miR-140-5p_MIMAT0000431	n22	1
hsa-miR-146a-5p_MIMAT0000449	n22	57
hsa-miR-148a-3p_MIMAT0000243	n22	2
hsa-miR-148b-3p_MIMAT0000759	n22	3
hsa-miR-151a-3p_MIMAT0000757	n21	16
hsa-miR-151a-5p_MIMAT0004697	n21	19
hsa-miR-15a-5p_MIMAT0000068	n22	2
hsa-miR-16-5p_MIMAT0000069	n22	14
hsa-miR-17-5p_MIMAT0000070	n23	11
hsa-miR-181a-3p_MIMAT0000270	n22	2
hsa-miR-181a-5p_MIMAT0000256	n23	128
hsa-miR-181b-5p_MIMAT0000257	n23	8
hsa-miR-182-5p_MIMAT0000259	n24	5
hsa-miR-186-5p_MIMAT0000456	n22	6
hsa-miR-191-5p_MIMAT0000440	n23	39
hsa-miR-193a-3p_MIMAT0000459	n22	2
